"board","case","model","setup","region","used_bytes","region_bytes","percent_used"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_euclidean_int8","FLASH","162132","134217728","0.12"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_fp32","DTCM","4232","65536","6.46"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_fp32","FLASH","166100","134217728","0.12"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_int8","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_int8","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_int8","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_int8","DTCM","4232","65536","6.46"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_int8","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_int8","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_int8","FLASH","163116","134217728","0.12"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_euclidean_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_euclidean_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_euclidean_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_euclidean_fp32","DTCM","11528","65536","17.59"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_euclidean_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_euclidean_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_euclidean_fp32","FLASH","156196","134217728","0.12"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_knn16_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_knn16_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_knn16_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_knn16_fp32","DTCM","11528","65536","17.59"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_knn16_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_knn16_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_knn16_fp32","FLASH","160084","134217728","0.12"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_euclidean_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_euclidean_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_euclidean_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_euclidean_fp32","DTCM","11528","65536","17.59"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_euclidean_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_euclidean_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_euclidean_fp32","FLASH","153340","134217728","0.11"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_knn16_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_knn16_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_knn16_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_knn16_fp32","DTCM","11528","65536","17.59"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_knn16_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_knn16_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_knn16_fp32","FLASH","157220","134217728","0.12"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_euclidean_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_euclidean_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_euclidean_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_euclidean_fp32","DTCM","11528","65536","17.59"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_euclidean_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_euclidean_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_euclidean_fp32","FLASH","152884","134217728","0.11"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_knn16_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_knn16_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_knn16_fp32","ITCM","0","65536","0"
