held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1,auc,pauc,cov_condition_number,config_name,model_hash,d_state,n_layers,expand,selective,discretization,flash_footprint_int8_kb,streaming_peak_ram_int8_kb,streaming_peak_ram_fp32_kb,head_flash_fp32_kb,total_flash_kb,flags_nothing,flags_everything,degenerate
1,mean,knn_clustered_16,iqr,2.186755483723499,1.0,0.5492424242424242,0.7746212121212122,0.7090464547677262,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_95.0,1.511842364221898,0.935,0.7083333333333334,0.8295454545454546,0.8060344827586207,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_99.0,1.6182711706589843,0.9825581395348836,0.6401515151515151,0.8143939393939394,0.7752293577981652,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_99.5,1.63712752056414,0.9879518072289156,0.6212121212121212,0.8068181818181818,0.7627906976744186,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,evt_p95_equiv,1.5136239861525922,0.9396984924623116,0.7083333333333334,0.8314393939393939,0.8077753779697624,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,parametric_p95_equiv,1.5196218092043383,0.9396984924623116,0.7083333333333334,0.8314393939393939,0.8077753779697624,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,kde_p95_equiv,1.5200707933764936,0.9396984924623116,0.7083333333333334,0.8314393939393939,0.8077753779697624,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,evt_p99_equiv,1.61100707800391,0.9825581395348836,0.6401515151515151,0.8143939393939394,0.7752293577981652,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,parametric_p99_equiv,1.57473493542738,0.978021978021978,0.6742424242424242,0.8295454545454546,0.7982062780269058,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,kde_p99_equiv,1.6226929196865163,0.9824561403508772,0.6363636363636364,0.8125,0.7724137931034483,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,evt_p999_equiv,1.7070193044663051,1.0,0.5378787878787878,0.7689393939393939,0.6995073891625616,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,parametric_p999_equiv,1.6285343312843132,0.9824561403508772,0.6363636363636364,0.8125,0.7724137931034483,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,kde_p999_equiv,1.7154784475378342,1.0,0.5151515151515151,0.7575757575757576,0.68,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,mad,1.668787357219942,0.9935483870967742,0.5833333333333334,0.7897727272727273,0.7350835322195705,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,iqr,1.7753141427804886,1.0,0.4393939393939394,0.7196969696969697,0.6105263157894737,0.8250975665748393,0.8435007974481659,,2878ff75bc8a.yaml,a4d5a89d0551,32,4,1,True,zoh,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_95.0,1.5113827999295373,0.9482758620689656,0.8333333333333334,0.8939393939393939,0.8870967741935484,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_99.0,1.703101476192769,0.9897959183673468,0.7348484848484849,0.8636363636363636,0.8434782608695652,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_99.5,1.7358727840349226,0.9947089947089948,0.7121212121212122,0.8541666666666666,0.8300220750551877,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,evt_p95_equiv,1.5282851685278016,0.9605263157894736,0.8295454545454546,0.8977272727272727,0.8902439024390244,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,parametric_p95_equiv,1.5548884231090871,0.968609865470852,0.8181818181818182,0.8958333333333334,0.8870636550308009,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,kde_p95_equiv,1.5373087657090547,0.9601769911504424,0.821969696969697,0.8939393939393939,0.8857142857142857,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,evt_p99_equiv,1.675707104452418,0.9850746268656716,0.75,0.8693181818181818,0.8516129032258064,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,parametric_p99_equiv,1.6299809063861843,0.9852941176470588,0.7613636363636364,0.875,0.8589743589743589,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,kde_p99_equiv,1.7137637093652325,0.9948186528497408,0.7272727272727273,0.8617424242424242,0.8402625820568927,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,evt_p999_equiv,1.9547575735609304,1.0,0.6212121212121212,0.8106060606060606,0.7663551401869159,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,parametric_p999_equiv,1.704109425991024,0.9897959183673468,0.7348484848484849,0.8636363636363636,0.8434782608695652,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,kde_p999_equiv,1.8199309811258009,0.99438202247191,0.6704545454545454,0.8333333333333334,0.8009049773755657,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,mad,1.8114952282520764,0.994413407821229,0.6742424242424242,0.8352272727272727,0.8036117381489842,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,iqr,1.972626016453146,1.0,0.6098484848484849,0.8049242424242424,0.7576470588235295,0.8836949035812672,0.905484268522546,,7228c951881d.yaml,b11515cd479d,32,4,1,True,euler,76.0625,17.12890625,68.515625,4.0,80.0625,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_95.0,1.6261112775649085,0.957345971563981,0.7651515151515151,0.865530303030303,0.8505263157894737,0.8852731864095501,0.8788724566236528,,20e71b039d4e.yaml,5de494fe6199,32,4,1,False,zoh,58.3125,17.0625,68.25,4.0,62.3125,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_99.0,1.73264426941099,0.9891891891891892,0.6931818181818182,0.8428030303030303,0.8151447661469933,0.8852731864095501,0.8788724566236528,,20e71b039d4e.yaml,5de494fe6199,32,4,1,False,zoh,58.3125,17.0625,68.25,4.0,62.3125,False,False,False
